noise_rate,beta,delta_noise,comparator_risk,comparator_risk_se,comparator_objective
0,0.001,0.00000000,0.00028400,8.000e-06,0.00028400
0,0.003,0.00000000,0.00028400,8.000e-06,0.00028400
0,0.01,0.00000000,0.00028400,8.000e-06,0.00028400
0,0.03,0.00000000,0.00028400,8.000e-06,0.00028400
0,0.1,0.00000000,0.00028400,8.000e-06,0.00028400
0,0.3,0.00000000,0.00028400,8.000e-06,0.00028400
0,1,0.00000000,0.00028400,8.000e-06,0.00028400
0,3,0.00000000,0.00028400,8.000e-06,0.00028400
0,10,0.00000000,0.00028400,8.000e-06,0.00028400
0.1,0.001,3.40000000,3.18721750,9.946e-03,3.19061750
0.1,0.003,3.40000000,3.18721750,9.946e-03,3.19741750
0.1,0.01,3.40000000,3.18721750,9.946e-03,3.22121750
0.1,0.03,3.40000000,3.18721750,9.946e-03,3.28921750
0.1,0.1,3.40000000,3.18721750,9.946e-03,3.52721750
0.1,0.3,3.40000000,3.18721750,9.946e-03,4.20721750
0.1,1,3.40000000,3.18721750,9.946e-03,6.58721750
0.1,3,3.40000000,3.18721750,9.946e-03,13.38721750
0.1,10,3.40000000,3.18721750,9.946e-03,37.18721750
0.2,0.001,6.40000000,5.59765535,1.181e-02,5.60405535
0.2,0.003,6.40000000,5.59765535,1.181e-02,5.61685535
0.2,0.01,6.40000000,5.59765535,1.181e-02,5.66165535
0.2,0.03,6.40000000,5.59765535,1.181e-02,5.78965535
0.2,0.1,6.40000000,5.59765535,1.181e-02,6.23765535
0.2,0.3,6.40000000,5.59765535,1.181e-02,7.51765535
0.2,1,6.40000000,5.59765535,1.181e-02,11.99765535
0.2,3,6.40000000,5.59765535,1.181e-02,24.79765535
0.2,10,6.40000000,5.59765535,1.181e-02,69.59765535
0.4,0.001,11.20000000,8.19125944,1.111e-02,8.20245944
0.4,0.003,11.20000000,8.19125944,1.111e-02,8.22485944
0.4,0.01,11.20000000,8.19125944,1.111e-02,8.30325944
0.4,0.03,11.20000000,8.19125944,1.111e-02,8.52725944
0.4,0.1,11.20000000,8.19125944,1.111e-02,9.31125944
0.4,0.3,11.20000000,8.19125944,1.111e-02,11.55125944
0.4,1,11.20000000,8.19125944,1.111e-02,19.39125944
0.4,3,11.20000000,8.19125944,1.111e-02,41.79125944
0.4,10,11.20000000,8.19125944,1.111e-02,120.19125944
